PBI,Excel,Lookup,Comments,Lookup
40150664,40151623,40151623,,#N/A
40150712,29746615,29746615,,40150712
40150953,40150695,40150695,,40150953
40150955,40152322,40152322,,40150955
40150979,40152607,40152607,,40150979
40150984,40152609,40152609,,40150984
40151007,40152713,40152713,,40151007
40151074,40152714,40152714,,40151074
40151100,40152715,40152715,,40151100
40151271,40152716,40152716,,40151271
40151280,40152757,40152757,,40151280
40151302,29229808,29229808,,40151302
40151303,29277206,29277206,,40151303
40151304,40143237,40143237,,40151304
40151317,40144969,40144969,,40151317
40151330,40151560,40151560,,40151330
40151343,29291519,29291519,,40151343
40151344,40152676,40152676,,40151344
40151347,40098942,40098942,,40151347
40151353,29525189,29525189,,40151353
40151392,29759805,29759805,,40151392
40151416,40151268,40151268,,40151416
40151417,40151916,40151916,,40151417
40151418,29198913,29198913,,#N/A
40151450,40151590,40151590,,40151450
40151458,40152587,40152587,,#N/A
40151459,40152588,40152588,,#N/A
40151532,29711246,29711246,,40151532
40151536,40151085,40151085,,#N/A
40151538,29277784,#N/A,POC not present in Comm BI,40151538
40151539,29198451,29198451,,40151539
40151554,29315627,29315627,,40151554
40151560,29494777,29494777,,40151560
40151590,40147949,40147949,,40151590
40151615,29190068,29190068,,40151615
40151623,40148921,40148921,,40151623
40151626,40151062,#N/A,POC not present in Comm BI,40151626
40151650,40152276,40152276,,40151650
40151692,40147878,40147878,,40151692
40151723,40152378,40152378,,40151723
40151759,29282628,29282628,,#N/A
40151760,40151554,40151554,,40151760
40151765,40151962,40151962,,40151765
40151774,40152188,40152188,,40151774
40151799,29720491,29720491,,40151799
40151801,40099338,40099338,,40151801
40151824,40151844,40151844,,40151824
40151830,40152407,40152407,,40151830
40151839,40152456,40152456,,40151839
40151895,40152462,40152462,,40151895
40151916,29184006,29184006,,40151916
40151921,29507649,29507649,,40151921
40151962,29567708,29567708,,40151962
40151966,40115831,40115831,,#N/A
40151995,29258410,29258410,,40151995
40152002,40152482,40152482,,40152002
40152036,29281343,29281343,,40152036
40152043,29267554,29267554,,40152043
40152053,40152051,40152051,,40152053
40152076,40150078,40150078,,40152076
40152080,40152112,40152112,,#N/A
40152112,40152337,40152337,,40152112
